"sl_um","pca","force","sem"
"2","6.2","0.6438","0.146921916417563"
"2","6","3.6078","0.621157599816282"
"2","5.8","11.0979333333333","1.55712646966766"
"2","5.6","23.4923333333333","1.92858066158872"
"2","5.4","31.9400666666667","1.78375108360275"
"2","5.2","33.7898666666667","1.71140363407647"
"2","4.5","33.1898666666667","1.66423555700698"
"2.3","6.2","1.66933333333333","0.403111666753787"
"2.3","6","6.683","1.15331230231307"
"2.3","5.8","16.6378","1.87544035260802"
"2.3","5.6","29.7948666666667","1.98243991770283"
"2.3","5.4","35.882","2.07313732575258"
"2.3","5.2","36.9886666666667","2.15264780404365"
"2.3","4.5","35.5629333333333","2.11464102653645"
