"sl_um","pca","ktr_s","sem"
"2","6.2","3.6931338564","0.649967723486487"
"2","6","2.84080960586667","0.299114112946516"
"2","5.8","4.5006602092","0.47564528834668"
"2","5.6","11.9274627447333","0.746930399941882"
"2","5.4","15.6924734093333","0.640273776062511"
"2","5.2","15.6508491813333","0.74328248469529"
"2","4.5","16.456179378","0.857766835961134"
"2.3","6.2","2.71199527846667","0.253507860039288"
"2.3","6","2.45006216446667","0.270014613283672"
"2.3","5.8","3.99896264886667","0.451808904628184"
"2.3","5.6","11.0947033874","0.634003975001505"
"2.3","5.4","13.866706723","0.661130526233303"
"2.3","5.2","14.1157708237333","0.67582235469885"
"2.3","4.5","15.3988409929333","0.751984907373832"
