SL_um,pCa,normalized_force,force_percent_max,pCa50,hill_coefficient
2.0,4.5,0.9716344587682326,97.16344587682326,5.4142831239952685,1.6785958240816417
2.0,4.5034068136272545,0.9712692817820074,97.12692817820074,5.4142831239952685,1.6785958240816417
2.0,4.506813627254509,0.970899544323254,97.0899544323254,5.4142831239952685,1.6785958240816417
2.0,4.510220440881763,0.9705251930842481,97.0525193084248,5.4142831239952685,1.6785958240816417
2.0,4.513627254509018,0.9701461742285309,97.01461742285309,5.4142831239952685,1.6785958240816417
2.0,4.517034068136272,0.969762433388161,96.9762433388161,5.4142831239952685,1.6785958240816417
2.0,4.520440881763527,0.9693739156610277,96.93739156610278,5.4142831239952685,1.6785958240816417
2.0,4.523847695390781,0.9689805656082251,96.89805656082251,5.4142831239952685,1.6785958240816417
2.0,4.527254509018036,0.9685823272514908,96.85823272514908,5.4142831239952685,1.6785958240816417
2.0,4.53066132264529,0.968179144070713,96.8179144070713,5.4142831239952685,1.6785958240816417
2.0,4.534068136272545,0.9677709590015069,96.77709590015068,5.4142831239952685,1.6785958240816417
2.0,4.537474949899799,0.9673577144328638,96.73577144328638,5.4142831239952685,1.6785958240816417
2.0,4.540881763527054,0.9669393522048788,96.69393522048789,5.4142831239952685,1.6785958240816417
2.0,4.544288577154308,0.9665158136065548,96.65158136065548,5.4142831239952685,1.6785958240816417
2.0,4.547695390781563,0.9660870393736918,96.60870393736917,5.4142831239952685,1.6785958240816417
2.0,4.551102204408818,0.9656529696868588,96.56529696868587,5.4142831239952685,1.6785958240816417
2.0,4.5545090180360726,0.9652135441694575,96.52135441694575,5.4142831239952685,1.6785958240816417
2.0,4.557915831663327,0.9647687018858765,96.47687018858765,5.4142831239952685,1.6785958240816417
2.0,4.5613226452905815,0.9643183813397412,96.43183813397413,5.4142831239952685,1.6785958240816417
2.0,4.564729458917836,0.9638625204722646,96.38625204722646,5.4142831239952685,1.6785958240816417
2.0,4.5681362725450905,0.9634010566606975,96.34010566606975,5.4142831239952685,1.6785958240816417
2.0,4.571543086172345,0.9629339267168889,96.29339267168889,5.4142831239952685,1.6785958240816417
2.0,4.574949899799599,0.9624610668859536,96.24610668859536,5.4142831239952685,1.6785958240816417
